Aircraft.Category,Make,Model,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Aircraft.damage,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight
Airplane,Cessna,140,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Cessna,401B,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,2.0,Reciprocating,IMC,Landing
Airplane,Bellanca,17-30A,Non-Fatal,0.0,0.0,1.0,0.0,Destroyed,1.0,Reciprocating,IMC,Cruise
Airplane,Cessna,R172K,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,IMC,Takeoff
Airplane,Navion,A,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,IMC,Cruise
Airplane,Beech,19,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,IMC,Cruise
Airplane,Cessna,180,Fatal(3),3.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Unknown
Airplane,Cessna,172,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Taxi
Airplane,Cessna,152,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Cessna,150L,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Piper,PA-24-180,Incident,0.0,0.0,0.0,1.0,Minor,1.0,Reciprocating,VMC,Approach
Airplane,Grumman,AA-5B,Fatal(2),2.0,1.0,0.0,0.0,Destroyed,1.0,Reciprocating,IMC,Descent
Airplane,Cessna,414A,Fatal(8),8.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,IMC,Approach
Airplane,Beechcraft,BE-58,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,IMC,Approach
Airplane,Maule,M-5-235C,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Cessna,210L,Non-Fatal,0.0,0.0,1.0,1.0,Substantial,1.0,Reciprocating,VMC,Descent
Airplane,Bellanca,7GCBC,Non-Fatal,0.0,0.0,2.0,0.0,Substantial,1.0,Reciprocating,VMC,Maneuvering
Airplane,Cessna,182,Non-Fatal,0.0,0.0,2.0,0.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Air Tractor,AT-301,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Piper,PA-28-161,Fatal(4),4.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Cruise
Airplane,Piper,PA-34-200T,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,VMC,Cruise
Airplane,Cessna,T337G,Fatal(2),2.0,2.0,0.0,0.0,Destroyed,2.0,Reciprocating,IMC,Cruise
Airplane,Piper,PA-28R-200,Non-Fatal,0.0,0.0,2.0,0.0,Substantial,1.0,Reciprocating,VMC,Cruise
Airplane,Cessna,206,Fatal(1),1.0,0.0,1.0,0.0,Destroyed,1.0,Reciprocating,VMC,Taxi
Airplane,Navion,A,Fatal(3),3.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,IMC,Cruise
Airplane,Piper,PA-22,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,IMC,Cruise
Airplane,Piper,PA-31,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,VMC,Approach
Airplane,Rockwell,114,Incident,0.0,0.0,0.0,1.0,Minor,1.0,Reciprocating,VMC,Cruise
Airplane,Piper,PA-24-250,Non-Fatal,0.0,1.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Descent
Airplane,Piper,PA-28R-200,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Cruise
Airplane,Cessna,TR182,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Taxi
Airplane,Cessna,A185F,Non-Fatal,0.0,2.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Cessna,340,Non-Fatal,0.0,0.0,0.0,3.0,Substantial,2.0,Reciprocating,VMC,Approach
Airplane,Beech,35,Non-Fatal,0.0,0.0,0.0,3.0,Substantial,1.0,Reciprocating,VMC,Climb
Airplane,Cessna,152,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Mooney,M-20J,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Boeing,A75,Non-Fatal,0.0,1.0,0.0,1.0,Substantial,1.0,Reciprocating,IMC,Cruise
Airplane,Cessna,210,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Cruise
